borough,mean-08-16,median-08-16
City of London,131375,59750
Barking and Dagenham,23675,20250
Barnet,42450,25250
Bexley,28662.5,22900
Brent,28337.5,20700
Bromley,37912.5,26375
Camden,73675,30775
Croydon,30725,23537.5
Ealing,33062.5,22437.5
Enfield,31350,22775
Greenwich,32687.5,22662.5
Hackney,33087.5,24100
Hammersmith and Fulham,56687.5,28100
Haringey,36275,23050
Harrow,34250,23975
Havering,30475,23387.5
Hillingdon,30400,23525
Hounslow,33400,22700
Islington,50312.5,28125
Kensington and Chelsea,150000,35812.5
Kingston upon Thames,40350,26700
Lambeth,37700,25412.5
Lewisham,30462.5,23387.5
Merton,45125,25750
Newham,23400,18750
Redbridge,31712.5,23750
Richmond upon Thames,60525,32550
Southwark,38562.5,24912.5
Sutton,31837.5,24587.5
Tower Hamlets,39737.5,25337.5
Waltham Forest,26062.5,21087.5
Wandsworth,55475,30462.5
Westminster,94987.5,33675
